用户ID,省份,性别,年龄,注册日期
100141,宁夏,女,38,2011-1-4
100142,河北,男,21,2011-1-4
100143,山东,女,35,2011-1-4
100144,海南,男,28,2011-1-4
100145,重庆,男,19,2011-1-4
100149,北京,女,31,2011-1-4
100150,山西,女,47,2011-1-4
100152,宁夏,女,21,2011-1-4
100153,天津,男,25,2011-1-4
100155,福建,男,26,2011-1-4
100156,云南,男,31,2011-1-4
100159,辽宁,女,19,2011-1-4
100160,四川,女,27,2011-1-4
100161,辽宁,男,40,2011-1-4
100162,新疆,女,27,2011-1-4
100163,北京,男,34,2011-1-4
100165,江苏,男,27,2011-1-4
100167,湖北,男,18,2011-1-4
100169,江苏,男,31,2011-1-4
100171,江苏,男,28,2011-1-4
100172,江苏,男,40,2011-1-4
100175,辽宁,男,26,2011-1-4
100176,广西,男,31,2011-1-4
100177,海南,男,27,2011-1-4
100178,四川,男,25,2011-1-4
100180,海南,男,27,2011-1-4
100181,辽宁,女,34,2011-1-4
100182,陕西,女,30,2011-1-4
100183,陕西,女,27,2011-1-4
100185,安徽,女,38,2011-1-4
100186,四川,女,25,2011-1-4
100187,湖南,女,28,2011-1-4
100188,山东,女,27,2011-1-4
100190,青海,男,26,2011-1-4
100191,西藏,男,23,2011-1-4
100193,广东,女,30,2011-1-4
100195,陕西,女,18,2011-1-4
100196,山西,男,19,2011-1-4
100197,上海,女,36,2011-1-4
100198,山东,女,18,2011-1-4
100199,上海,男,19,2011-1-4
100200,福建,女,24,2011-1-4
100201,青海,男,24,2011-1-4
100202,北京,女,32,2011-1-4
100203,浙江,男,37,2011-1-4
100204,黑龙江,女,37,2011-1-4
100207,上海,女,23,2011-1-4
100208,吉林,男,21,2011-1-4
100209,黑龙江,女,31,2011-1-4
100210,山西,女,36,2011-1-4
100211,河北,男,33,2011-1-5
100212,新疆,女,27,2011-1-5
100213,天津,男,42,2011-1-5
100215,陕西,女,25,2011-1-5
100218,甘肃,男,44,2011-1-5
100220,贵州,男,24,2011-1-5
100224,甘肃,男,18,2011-1-5
100225,安徽,男,18,2011-1-5
100226,北京,男,45,2011-1-5
100227,浙江,女,41,2011-1-5
100229,云南,女,25,2011-1-5
100230,内蒙古,男,21,2011-1-5
100231,湖南,女,20,2011-1-5
100233,广东,女,23,2011-1-5
100235,宁夏,男,20,2011-1-5
100236,青海,女,37,2011-1-5
100237,广西,女,32,2011-1-5
100238,安徽,女,36,2011-1-5
100241,上海,女,34,2011-1-5
100243,北京,女,44,2011-1-5
100244,福建,女,18,2011-1-5
100245,海南,男,30,2011-1-5
100247,山西,男,18,2011-1-5
100249,湖南,女,31,2011-1-5
100250,云南,女,19,2011-1-5
100251,重庆,男,34,2011-1-5
100252,新疆,男,28,2011-1-5
100254,天津,男,33,2011-1-5
100255,浙江,男,29,2011-1-5
100256,湖北,女,34,2011-1-5
100257,北京,男,22,2011-1-5
100258,山东,男,47,2011-1-5
100260,甘肃,女,38,2011-1-5
100262,河南,男,41,2011-1-5
100263,湖北,男,20,2011-1-5
100264,黑龙江,男,33,2011-1-5
100265,河北,男,33,2011-1-5
100267,广东,男,42,2011-1-5
100270,上海,女,26,2011-1-5
100271,北京,男,23,2011-1-5
100272,北京,女,36,2011-1-5
100273,云南,女,20,2011-1-5
100274,贵州,女,30,2011-1-5
100275,山西,女,19,2011-1-5
100276,内蒙古,男,18,2011-1-5
100277,湖南,男,39,2011-1-5
100278,河北,女,24,2011-1-5
100279,上海,男,24,2011-1-5
100281,山西,男,26,2011-1-5
100282,江西,女,29,2011-1-5
100283,浙江,男,38,2011-1-5
100285,安徽,女,25,2011-1-5
100286,河南,男,38,2011-1-5
100287,新疆,女,19,2011-1-5
100288,广东,男,28,2011-1-5
100290,安徽,女,23,2011-1-5
100291,重庆,女,39,2011-1-5
100293,新疆,男,28,2011-1-5
100294,北京,男,18,2011-1-5
100295,贵州,男,31,2011-1-5
100296,贵州,女,24,2011-1-5
100297,天津,男,26,2011-1-5
100298,河南,男,21,2011-1-5
100299,山西,女,24,2011-1-5
100300,河南,男,24,2011-1-5
100302,重庆,男,21,2011-1-5
100303,河北,男,23,2011-1-5
100304,甘肃,女,21,2011-1-5
100305,四川,女,18,2011-1-5
100306,天津,男,44,2011-1-5
100308,上海,女,26,2011-1-5
100309,青海,男,41,2011-1-5
100312,广东,男,27,2011-1-5
100313,北京,男,26,2011-1-5
100315,云南,女,37,2011-1-5
100316,广西,女,38,2011-1-5
100317,江苏,男,20,2011-1-5
100318,北京,女,25,2011-1-5
100319,天津,男,20,2011-1-6
100320,贵州,女,21,2011-1-6
100322,四川,男,25,2011-1-6
100326,四川,男,40,2011-1-6
100327,江苏,女,24,2011-1-6
100328,湖南,男,30,2011-1-6
100330,宁夏,男,36,2011-1-6
100331,上海,女,34,2011-1-6
100332,四川,女,22,2011-1-6
100333,新疆,女,21,2011-1-6
100334,山东,男,28,2011-1-6
100335,西藏,女,31,2011-1-6
100336,安徽,女,25,2011-1-6
100337,西藏,女,32,2011-1-6
100338,辽宁,男,22,2011-1-6
100339,山西,男,27,2011-1-6
100341,河北,男,20,2011-1-6
100342,福建,女,28,2011-1-6
100344,浙江,女,25,2011-1-6
100347,陕西,女,29,2011-1-6
100348,内蒙古,男,28,2011-1-6
100350,上海,女,22,2011-1-6
100351,广西,女,21,2011-1-6
100352,福建,男,19,2011-1-6
100353,贵州,女,21,2011-1-6
100354,河南,男,25,2011-1-6
100355,西藏,男,38,2011-1-6
100356,广东,女,33,2011-1-6
100357,福建,男,41,2011-1-6
100359,陕西,女,23,2011-1-6
100360,西藏,女,37,2011-1-6
100362,广西,男,19,2011-1-6
100364,江苏,女,26,2011-1-6
100365,黑龙江,女,30,2011-1-6
100369,辽宁,女,19,2011-1-6
100370,新疆,女,20,2011-1-6
100371,山东,女,33,2011-1-6
100373,黑龙江,女,31,2011-1-6
100375,上海,女,28,2011-1-6
100378,江西,女,35,2011-1-6
100380,河北,男,44,2011-1-6
100381,重庆,男,19,2011-1-6
100382,河南,女,42,2011-1-6
100383,青海,女,33,2011-1-6
100384,浙江,男,40,2011-1-6
100386,上海,女,32,2011-1-6
100387,辽宁,女,23,2011-1-6
100388,贵州,男,37,2011-1-6
100389,重庆,男,36,2011-1-6
100390,山东,男,25,2011-1-6
100391,天津,男,27,2011-1-6
100394,江苏,女,29,2011-1-6
100395,湖南,男,31,2011-1-6
100396,北京,男,21,2011-1-6
100397,浙江,女,38,2011-1-6
100398,西藏,男,41,2011-1-6
100399,湖南,女,36,2011-1-6
100400,辽宁,女,19,2011-1-6
100401,广东,男,27,2011-1-6
100402,广西,女,25,2011-1-6
100404,江西,男,31,2011-1-6
100405,安徽,男,19,2011-1-6
100406,吉林,男,18,2011-1-6
100408,上海,男,37,2011-1-6
100409,四川,男,28,2011-1-6
100410,安徽,男,45,2011-1-6
100411,上海,女,30,2011-1-6
100412,上海,女,37,2011-1-6
100413,辽宁,男,24,2011-1-6
100415,贵州,女,33,2011-1-6
100416,山东,女,27,2011-1-6
100417,重庆,男,35,2011-1-6
100418,山西,女,32,2011-1-6
100419,湖南,男,34,2011-1-6
100420,吉林,男,36,2011-1-6
100421,河南,女,47,2011-1-6
100422,云南,男,25,2011-1-6
100423,甘肃,男,22,2011-1-6
100424,四川,女,23,2011-1-6
100426,甘肃,女,26,2011-1-6
100428,宁夏,女,26,2011-1-6
100429,贵州,女,25,2011-1-6
100432,山西,男,23,2011-1-6
100434,四川,男,20,2011-1-6
100435,江西,男,46,2011-1-6
100436,北京,男,22,2011-1-6
100438,河北,女,36,2011-1-6
100439,陕西,女,22,2011-1-6
100440,北京,女,39,2011-1-6
100443,上海,男,20,2011-1-6
100445,河南,女,32,2011-1-6
100446,北京,男,28,2011-1-7
100447,黑龙江,女,40,2011-1-7
100448,重庆,女,26,2011-1-7
100451,新疆,女,29,2011-1-7
100452,广东,男,20,2011-1-7
100453,浙江,女,20,2011-1-7
100455,内蒙古,男,40,2011-1-7
100456,江苏,男,34,2011-1-7
100457,江苏,男,19,2011-1-7
100458,西藏,女,21,2011-1-7
100459,内蒙古,女,26,2011-1-7
100460,河北,男,25,2011-1-7
100461,新疆,女,19,2011-1-7
100463,江苏,男,41,2011-1-7
100464,湖南,男,25,2011-1-7
100468,黑龙江,女,38,2011-1-7
100473,江西,男,41,2011-1-7
100477,新疆,男,25,2011-1-7
100478,上海,女,44,2011-1-7
100480,湖南,女,42,2011-1-7
100481,福建,男,46,2011-1-7
100482,安徽,男,28,2011-1-7
100485,北京,女,24,2011-1-7
100486,上海,男,21,2011-1-7
100490,上海,男,40,2011-1-7
100493,海南,女,25,2011-1-7
100494,河南,女,32,2011-1-7
100495,湖南,女,24,2011-1-7
100498,新疆,女,29,2011-1-7
100499,内蒙古,男,27,2011-1-7
100502,湖南,男,28,2011-1-7
100504,黑龙江,女,32,2011-1-7
100505,西藏,女,24,2011-1-7
100506,辽宁,男,42,2011-1-7
100507,广西,女,25,2011-1-7
100508,辽宁,男,21,2011-1-7
100509,北京,女,42,2011-1-7
100510,江西,女,36,2011-1-7
100512,广西,女,32,2011-1-7
100513,北京,女,32,2011-1-7
100514,浙江,女,45,2011-1-7
100515,辽宁,女,19,2011-1-7
100516,西藏,男,29,2011-1-7
100517,青海,女,20,2011-1-7
100518,山西,女,20,2011-1-7
100520,宁夏,男,37,2011-1-7
100521,陕西,男,23,2011-1-7
100522,湖南,男,24,2011-1-7
100523,重庆,男,33,2011-1-7
100525,上海,男,33,2011-1-7
100526,黑龙江,男,30,2011-1-7
100527,北京,男,37,2011-1-7
100528,黑龙江,女,35,2011-1-7
100529,青海,女,32,2011-1-7
100530,海南,女,34,2011-1-7
100531,宁夏,男,26,2011-1-7
100534,上海,女,33,2011-1-7
100535,广东,男,25,2011-1-7
100537,河南,女,18,2011-1-7
100538,江西,男,29,2011-1-7
100539,安徽,女,20,2011-1-7
100540,湖北,女,19,2011-1-7
100541,青海,男,24,2011-1-7
100544,辽宁,女,36,2011-1-7
100546,湖北,女,35,2011-1-7
100547,北京,男,34,2011-1-7
100552,山东,男,37,2011-1-7
100553,安徽,女,36,2011-1-7
100554,北京,女,23,2011-1-7
100556,四川,女,40,2011-1-7
100559,甘肃,男,29,2011-1-7
100560,黑龙江,男,35,2011-1-7
100561,河南,女,18,2011-1-7
100562,青海,男,23,2011-1-7
100563,重庆,女,23,2011-1-7
100564,新疆,女,21,2011-1-7
100565,山东,男,33,2011-1-7
100567,山东,女,19,2011-1-7
100568,青海,男,44,2011-1-7
100572,甘肃,男,35,2011-1-7
100573,广东,女,20,2011-1-7
100576,福建,男,19,2011-1-7
100577,北京,女,27,2011-1-7
100578,海南,男,45,2011-1-7
100581,黑龙江,男,19,2011-1-7
100582,黑龙江,女,25,2011-1-7
100586,青海,男,24,2011-1-7
100587,陕西,女,37,2011-1-7
100588,青海,男,23,2011-1-7
100589,辽宁,男,26,2011-1-7
100591,山西,男,38,2011-1-7
100592,陕西,男,25,2011-1-7
100593,内蒙古,女,23,2011-1-7
100594,贵州,男,28,2011-1-7
100595,陕西,女,22,2011-1-7
100596,陕西,女,31,2011-1-7
100597,黑龙江,女,20,2011-1-7
100598,江西,男,22,2011-1-7
100599,山西,男,47,2011-1-7
100600,山西,男,36,2011-1-7
100602,福建,男,26,2011-1-7
100604,四川,女,21,2011-1-7
100605,陕西,女,35,2011-1-7
100607,重庆,女,46,2011-1-7
100609,重庆,女,40,2011-1-7
100610,辽宁,女,26,2011-1-7
100611,山东,男,22,2011-1-7
100612,北京,女,18,2011-1-7
100613,广东,女,36,2011-1-7
100614,山东,男,45,2011-1-7
100617,河北,男,39,2011-1-7
100618,山西,女,38,2011-1-7
100620,北京,女,47,2011-1-7
100621,黑龙江,女,39,2011-1-7
100622,贵州,女,23,2011-1-7
100623,安徽,男,24,2011-1-7
100625,云南,男,45,2011-1-7
100626,安徽,女,26,2011-1-7
100627,河南,男,24,2011-1-7
100628,广西,女,19,2011-1-7
100630,浙江,女,27,2011-1-7
100631,贵州,男,18,2011-1-7
100635,甘肃,男,22,2011-1-8
100636,广西,女,36,2011-1-8
100639,新疆,男,29,2011-1-8
100640,重庆,男,37,2011-1-8
100644,浙江,男,26,2011-1-8
100647,河北,女,20,2011-1-8
100648,江西,女,26,2011-1-8
100650,内蒙古,男,38,2011-1-8
100651,宁夏,女,24,2011-1-8
100653,广东,女,30,2011-1-8
100655,北京,男,20,2011-1-8
100656,北京,男,27,2011-1-8
100657,河南,女,23,2011-1-8
100658,福建,女,39,2011-1-8
100659,浙江,女,20,2011-1-8
100661,河南,女,36,2011-1-8
100663,云南,男,31,2011-1-8
100666,海南,女,37,2011-1-8
100667,辽宁,男,39,2011-1-8
100669,四川,女,31,2011-1-8
100671,青海,女,44,2011-1-8
100673,江西,女,31,2011-1-8
100674,重庆,女,28,2011-1-8
100675,北京,男,18,2011-1-8
100677,上海,男,42,2011-1-8
100678,海南,男,33,2011-1-8
100681,广东,女,20,2011-1-8
100682,四川,女,32,2011-1-8
100683,宁夏,男,31,2011-1-8
100684,云南,女,19,2011-1-8
100685,黑龙江,女,30,2011-1-8
100687,青海,女,22,2011-1-8
100688,广西,女,27,2011-1-8
100689,河南,男,30,2011-1-8
100691,宁夏,男,30,2011-1-8
100693,广西,女,25,2011-1-8
100696,江西,女,26,2011-1-8
100697,吉林,女,24,2011-1-8
100699,湖南,女,20,2011-1-8
100700,内蒙古,男,34,2011-1-8
100701,山东,男,25,2011-1-8
100702,辽宁,女,38,2011-1-8
100703,福建,男,30,2011-1-8
100704,海南,女,21,2011-1-8
100705,重庆,女,22,2011-1-8
100707,北京,男,25,2011-1-8
100708,陕西,女,42,2011-1-8
100709,广西,男,28,2011-1-8
100714,广西,女,35,2011-1-8
100715,辽宁,男,23,2011-1-8
100716,广东,男,20,2011-1-8
100717,陕西,男,28,2011-1-8
100719,西藏,男,28,2011-1-8
100721,广西,男,18,2011-1-8
100722,海南,男,35,2011-1-8
100725,新疆,男,31,2011-1-8
100726,湖北,男,40,2011-1-8
100727,黑龙江,女,21,2011-1-8
100730,海南,女,20,2011-1-8
100731,福建,女,24,2011-1-8
100732,云南,男,23,2011-1-8
100733,黑龙江,男,41,2011-1-8
100735,新疆,男,46,2011-1-8
100736,江西,女,31,2011-1-8
100737,辽宁,女,33,2011-1-8
100738,上海,男,26,2011-1-8
100739,甘肃,男,18,2011-1-8
100742,辽宁,女,20,2011-1-8
100743,辽宁,男,22,2011-1-8
100744,黑龙江,男,26,2011-1-8
100747,湖北,女,20,2011-1-8
100748,四川,女,20,2011-1-8
100749,福建,女,37,2011-1-8
100752,福建,男,33,2011-1-8
100753,四川,男,24,2011-1-8
100754,青海,男,24,2011-1-8
100755,新疆,男,47,2011-1-8
100756,辽宁,男,20,2011-1-8
100757,河南,男,23,2011-1-8
100758,天津,女,24,2011-1-8
100759,内蒙古,女,37,2011-1-8
100760,辽宁,男,33,2011-1-8
100761,吉林,男,21,2011-1-8
100765,青海,女,24,2011-1-8
100767,黑龙江,男,44,2011-1-8
100769,广东,女,23,2011-1-8
100771,四川,男,28,2011-1-8
100772,内蒙古,男,18,2011-1-8
100773,湖南,男,38,2011-1-8
100774,湖北,男,20,2011-1-8
100777,北京,男,31,2011-1-8
100779,湖北,女,44,2011-1-8
100781,广东,女,30,2011-1-8
100782,天津,男,46,2011-1-8
100783,四川,男,35,2011-1-8
100784,江西,男,20,2011-1-8
100786,河北,男,21,2011-1-8
100787,吉林,男,25,2011-1-8
100788,云南,女,23,2011-1-8
100789,黑龙江,男,35,2011-1-8
100790,吉林,女,20,2011-1-8
100791,重庆,女,27,2011-1-8
100793,广东,女,24,2011-1-8
100794,甘肃,女,30,2011-1-8
100796,湖南,女,35,2011-1-8
100797,浙江,男,38,2011-1-8
100799,内蒙古,男,28,2011-1-8
100800,新疆,男,21,2011-1-8
100804,上海,男,24,2011-1-8
100806,西藏,男,29,2011-1-8
100808,上海,男,23,2011-1-8
100810,吉林,女,40,2011-1-8
100811,河南,女,19,2011-1-8
100814,浙江,男,25,2011-1-8
100816,陕西,女,21,2011-1-8
100817,西藏,女,35,2011-1-8
100818,浙江,女,30,2011-1-8
100819,安徽,女,25,2011-1-8
100820,山东,男,44,2011-1-8
100821,青海,女,21,2011-1-8
100824,江苏,女,22,2011-1-8
100826,海南,女,23,2011-1-8
100827,辽宁,女,21,2011-1-8
100829,内蒙古,男,20,2011-1-8
100834,上海,男,32,2011-1-8
100836,辽宁,男,31,2011-1-8
100837,河北,男,24,2011-1-8
100840,黑龙江,女,23,2011-1-8
100841,湖北,男,45,2011-1-8
100844,广西,男,37,2011-1-8
100845,宁夏,女,23,2011-1-8
100846,宁夏,男,23,2011-1-8
100847,宁夏,男,30,2011-1-8
100848,浙江,女,31,2011-1-8
100850,甘肃,女,33,2011-1-8
100851,青海,男,25,2011-1-8
100852,上海,女,27,2011-1-8
100853,广西,男,23,2011-1-8
100854,重庆,男,25,2011-1-8
100856,内蒙古,男,21,2011-1-8
100858,安徽,女,34,2011-1-8
100860,河北,女,40,2011-1-8
100861,贵州,男,23,2011-1-8
100864,福建,女,37,2011-1-8
100865,湖北,女,30,2011-1-8
100866,四川,女,23,2011-1-8
100867,吉林,女,46,2011-1-8
100868,山东,男,40,2011-1-8
100869,江苏,男,37,2011-1-8
100870,天津,女,20,2011-1-9
100871,海南,女,40,2011-1-9
100873,海南,女,37,2011-1-9
100874,山东,男,27,2011-1-9
100875,上海,女,31,2011-1-9
100876,西藏,男,18,2011-1-9
100877,天津,女,36,2011-1-9
100881,浙江,男,29,2011-1-9
100882,海南,男,20,2011-1-9
100883,宁夏,男,33,2011-1-9
100884,湖南,男,22,2011-1-9
100885,辽宁,男,26,2011-1-9
100886,青海,男,24,2011-1-9
100887,天津,女,25,2011-1-9
100889,吉林,男,19,2011-1-9
100891,河北,男,45,2011-1-9
100892,浙江,男,20,2011-1-9
100893,湖北,女,25,2011-1-9
100894,山西,男,24,2011-1-9
100897,上海,男,25,2011-1-9
100899,天津,男,24,2011-1-9
100902,湖北,女,37,2011-1-9
100904,江苏,女,27,2011-1-9
100905,甘肃,女,19,2011-1-9
100906,四川,男,23,2011-1-9
100908,北京,男,31,2011-1-9
100909,安徽,女,27,2011-1-9
100910,江苏,女,32,2011-1-9
100912,江苏,女,29,2011-1-9
100914,重庆,男,27,2011-1-9
100916,上海,男,27,2011-1-9
100917,陕西,女,28,2011-1-9
100922,辽宁,男,38,2011-1-9
100923,宁夏,男,25,2011-1-9
100925,浙江,男,23,2011-1-9
100926,四川,女,18,2011-1-9
100928,浙江,女,29,2011-1-9
100929,北京,男,25,2011-1-9
100931,山西,女,21,2011-1-9
100934,海南,女,25,2011-1-9
100936,江西,男,28,2011-1-9
100937,西藏,男,30,2011-1-9
100938,浙江,女,25,2011-1-9
100939,甘肃,女,21,2011-1-9
100943,内蒙古,男,37,2011-1-9
100944,山东,女,29,2011-1-9
100945,浙江,女,30,2011-1-9
100946,广东,男,25,2011-1-9
100949,浙江,女,30,2011-1-9
100950,辽宁,女,25,2011-1-9
100954,山西,男,18,2011-1-9
100955,山西,女,33,2011-1-9
100956,湖南,女,30,2011-1-9
100957,北京,男,31,2011-1-9
100959,广西,男,41,2011-1-9
100960,辽宁,女,20,2011-1-9
100962,山东,女,28,2011-1-9
100963,新疆,男,19,2011-1-9
100964,黑龙江,男,22,2011-1-9
100967,山东,女,29,2011-1-9
100969,湖北,女,32,2011-1-9
100972,上海,女,23,2011-1-9
100973,北京,女,20,2011-1-9
100975,海南,男,26,2011-1-9
100976,四川,女,32,2011-1-9
100977,上海,男,25,2011-1-9
100978,山西,女,41,2011-1-9
100979,河南,男,37,2011-1-9
100980,新疆,女,20,2011-1-9
100981,上海,女,24,2011-1-9
100983,福建,女,23,2011-1-9
100985,辽宁,女,28,2011-1-9
100986,江西,男,34,2011-1-9
100987,北京,男,37,2011-1-9
100988,广东,男,27,2011-1-9
100989,江苏,男,28,2011-1-9
100990,陕西,男,26,2011-1-9
100992,湖北,男,34,2011-1-9
100993,广东,女,26,2011-1-9
100994,黑龙江,男,19,2011-1-9
100995,贵州,男,36,2011-1-9
100996,安徽,男,22,2011-1-9
100997,河北,女,47,2011-1-9
100999,山东,女,23,2011-1-9
101001,山东,男,35,2011-1-9
101002,云南,女,24,2011-1-9
101005,陕西,女,31,2011-1-9
101007,吉林,女,45,2011-1-9
101008,上海,男,19,2011-1-9
101010,湖北,女,28,2011-1-9
101011,云南,女,36,2011-1-9
101012,山东,男,27,2011-1-9
101014,江苏,女,27,2011-1-9
101015,浙江,男,18,2011-1-9
101016,北京,女,35,2011-1-9
101018,广西,女,36,2011-1-9
101019,青海,男,38,2011-1-9
101020,上海,女,37,2011-1-9
101025,新疆,女,18,2011-1-9
101026,新疆,男,35,2011-1-9
101028,云南,女,19,2011-1-9
101029,辽宁,男,40,2011-1-9
101033,河南,女,44,2011-1-9
101036,湖北,男,45,2011-1-9
101037,贵州,女,37,2011-1-9
101040,安徽,女,25,2011-1-9
101041,重庆,女,21,2011-1-9
101042,北京,女,28,2011-1-9
101043,广东,男,25,2011-1-9
101044,青海,男,38,2011-1-9
101046,江苏,男,25,2011-1-9
101048,山东,女,23,2011-1-9
101051,福建,男,21,2011-1-9
101054,湖北,男,21,2011-1-9
101055,北京,男,41,2011-1-9
101058,新疆,女,35,2011-1-9
101059,青海,男,29,2011-1-9
101061,甘肃,女,32,2011-1-9
101063,上海,男,35,2011-1-9
101066,北京,男,25,2011-1-9
101067,广西,男,21,2011-1-9
101068,河南,女,22,2011-1-9
101069,天津,男,44,2011-1-9
101070,四川,女,38,2011-1-9
101073,江西,女,25,2011-1-9
101074,青海,男,32,2011-1-9
101076,湖北,女,38,2011-1-9
101077,甘肃,女,29,2011-1-9
101079,黑龙江,男,18,2011-1-9
101080,河南,女,25,2011-1-9
101083,浙江,女,30,2011-1-9
101086,浙江,男,34,2011-1-9
101089,山西,女,42,2011-1-9
101090,河南,男,19,2011-1-9
101091,河南,男,22,2011-1-9
101093,黑龙江,女,35,2011-1-9
101096,山西,女,45,2011-1-9
101097,陕西,女,38,2011-1-9
101098,甘肃,女,22,2011-1-9
101100,上海,女,31,2011-1-9
101103,河北,男,34,2011-1-9
101105,安徽,女,33,2011-1-9
101106,贵州,女,33,2011-1-9
101107,山东,男,26,2011-1-9
101108,湖南,男,19,2011-1-9
101110,湖北,男,18,2011-1-9
101111,河南,男,22,2011-1-9
101114,宁夏,女,31,2011-1-9
101115,广西,女,18,2011-1-9
101116,河北,男,25,2011-1-9
101117,北京,女,25,2011-1-9
101118,吉林,男,37,2011-1-9
101119,安徽,女,25,2011-1-9
101120,贵州,女,22,2011-1-9
101123,内蒙古,女,18,2011-1-9
101124,重庆,男,31,2011-1-9
101125,贵州,男,25,2011-1-9
101126,新疆,女,29,2011-1-9
101128,北京,男,23,2011-1-9
101129,江西,女,21,2011-1-9
101133,江苏,女,18,2011-1-9
101134,上海,女,33,2011-1-9
101139,甘肃,女,28,2011-1-9
101140,河南,男,45,2011-1-9
101141,四川,男,23,2011-1-9
101142,吉林,男,26,2011-1-9
101146,陕西,女,41,2011-1-9
101147,贵州,女,35,2011-1-9
101148,河南,男,29,2011-1-9
101149,天津,女,30,2011-1-9
101150,广东,女,23,2011-1-9
101152,山东,女,33,2011-1-9
101153,云南,男,26,2011-1-9
101155,山西,男,18,2011-1-9
101158,天津,男,21,2011-1-9
101159,山东,男,23,2011-1-9
101160,青海,男,26,2011-1-9
101161,安徽,女,37,2011-1-9
101162,山西,女,37,2011-1-9
101163,西藏,女,27,2011-1-9
101164,甘肃,男,33,2011-1-9
101165,安徽,男,46,2011-1-9
101167,福建,女,20,2011-1-10
101168,西藏,女,34,2011-1-10
101169,浙江,女,32,2011-1-10
101171,上海,男,26,2011-1-10
101172,甘肃,女,18,2011-1-10
101173,上海,男,46,2011-1-10
101174,福建,女,44,2011-1-10
101176,重庆,女,45,2011-1-10
101180,重庆,男,33,2011-1-10
101181,上海,男,26,2011-1-10
101182,上海,男,34,2011-1-10
101183,贵州,男,22,2011-1-10
101184,北京,女,26,2011-1-10
101185,吉林,男,39,2011-1-10
101186,甘肃,女,27,2011-1-10
101187,山东,男,22,2011-1-10
101189,上海,男,24,2011-1-10
101191,甘肃,女,20,2011-1-10
101192,内蒙古,女,19,2011-1-10
101194,新疆,男,31,2011-1-10
101198,北京,男,22,2011-1-10
101200,西藏,女,29,2011-1-10
101202,安徽,女,20,2011-1-10
101203,湖南,男,36,2011-1-10
101204,吉林,男,26,2011-1-10
101206,湖北,女,27,2011-1-10
101207,江苏,女,39,2011-1-10
101208,陕西,女,39,2011-1-10
101209,江苏,女,38,2011-1-10
